TailNumber,FlightDate,Origin,Destination,FireIncident,FireStart,FireEnd,DistanceKM
N291EA,2025-08-03,MD87,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,27.90
N291EA,2025-08-03,MD87,Grand Junction Rgnl (KGJT),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,29.00
N291EA,2025-08-03,MD87,Durango-La Plata County (KDRO),South Rim - COBCP,2025-07-10,2025-08-03,29.72
N291EA,2025-08-03,MD87,Durango-La Plata County (KDRO),Elk RBX Fire - COWRD,2025-08-02,2025-08-07,28.96
N291EA,2025-08-03,MD87,Durango-La Plata County (KDRO),Leroux - COMRD,2025-08-03,2025-08-03,21.45
N291EA,2025-08-03,MD87,Durango-La Plata County (KDRO),Leroux Fire - COMRD,2025-08-03,2025-08-07,21.45
N291EA,2025-08-02,MD87,Near Durango, CO,Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.09
N291EA,2025-08-02,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.78
N291EA,2025-08-02,MD87,Near Durango, CO,Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.07
N291EA,2025-08-02,MD87,Near Durango, CO,Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.86
N291EA,2025-08-02,MD87,Near Durango, CO,Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.37
N291EA,2025-08-02,MD87,Near Durango, CO,Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.70
N291EA,2025-08-02,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,26.09
N291EA,2025-08-02,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,29.18
N291EA,2025-08-02,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,27.53
N291EA,2025-08-02,MD87,Durango-La Plata County (KDRO),Middle Mesa Fire - NMCAF,2025-08-01,2025-08-07,28.55
N291EA,2025-07-30,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,27.73
N291EA,2025-07-30,MD87,Cedar City Rgnl (KCDC),Monroe Canyon - UTFIF,2025-07-13,2025-08-07,26.77
N291EA,2025-07-28,MD87,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,27.26
N291EA,2025-07-28,MD87,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,28.28
N291EA,2025-07-28,MD87,Near Grand Junction, CO,Turner Gulch - COGRD,2025-07-10,2025-08-07,26.06
N291EA,2025-07-28,MD87,Durango-La Plata County (KDRO),Turner Gulch - COGRD,2025-07-10,2025-08-07,29.63
N291EA,2025-07-26,MD87,Grand Junction Rgnl (KGJT),Turner Gulch - COGRD,2025-07-10,2025-08-07,27.29
N291EA,2025-07-26,MD87,Durango-La Plata County (KDRO),Turner Gulch - COGRD,2025-07-10,2025-08-07,27.38
N292EA,2025-08-04,MD87,Coeur D'Alene/Pappy Boyington Fld (KCOE),Gill Gulch Fire - MTHLF,2025-08-04,2025-08-07,27.60
N292EA,2025-07-27,MD87,Missoula Montana (KMSO),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,28.25
N292EA,2025-07-27,MD87,Missoula Montana (KMSO),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,28.01
N292EA,2025-07-27,MD87,Coeur D'Alene/Pappy Boyington Fld (KCOE),Dominic Butte Fire - MTBRF,2025-07-26,2025-07-29,26.43
